key,name,pos,team,bye,std,half_ppr,ppr
brown_TE_HOU,,,,,350.0,396.0,
hajrullahu_K_DAL,Lirim Hajrullahu,K,DAL,9,,217.0,246.0
gano_K_NYG,Graham Gano,K,NYG,9,,227.0,186.0
jones_RB_NO,Tony Jones Jr.,RB,NO,14,,247.0,259.0
robinson_WR_LV,Demarcus Robinson,WR,LV,6,,269.0,283.5
sealsjones_TE_NYG,Ricky Seals-Jones,TE,NYG,9,,281.0,292.0
reynolds_WR_DET,Josh Reynolds,WR,DET,6,,286.0,295.0
howard_TE_BUF,O.J. Howard,TE,BUF,7,,293.0,293.5
deguara_TE_GB,Josiah Deguara,TE,GB,14,,299.0,308.0
ealy_RB_KC,Jerrion Ealy,RB,KC,8,,301.0,310.0
higgins_WR_CAR,Rashard Higgins,WR,CAR,13,,305.0,313.0
moreau_TE_LV,Foster Moreau,TE,LV,6,,310.0,296.5
gordon_WR_KC,Josh Gordon,WR,KC,8,,324.0,326.0
huntley_QB_BAL,Tyler Huntley,QB,BAL,10,,361.0,361.0
nailor_WR_MIN,Jalen Nailor,WR,MIN,7,,368.0,368.0
austin_WR_PIT,Calvin Austin III,WR,PIT,9,,372.0,331.5
gore_RB_KC,Derrick Gore,RB,KC,8,,381.0,379.0
blackshear_RB_BUF,Raheem Blackshear,RB,BUF,7,,383.0,384.0
johnson_TE_NO,Juwan Johnson,TE,NO,14,,385.0,385.0
dalton_QB_NO,Andy Dalton,QB,NO,14,,388.0,387.0
slayton_WR_NYG,Darius Slayton,WR,NYG,9,,391.0,389.0
abdullah_RB_LV,Ameer Abdullah,RB,LV,6,,,207.0
dicker_K_LAR,Cameron Dicker,K,LAR,7,,,227.0
myers_K_SEA,Jason Myers,K,SEA,11,,,238.0
juszczyk_RB_SF,Kyle Juszczyk,RB,SF,9,,,243.0
gonzalez_K_CAR,Zane Gonzalez,K,CAR,13,,,266.0
jaguars_DST_JAX,Jaguars,DST,JAX,11,,,280.0
bridgewater_QB_MIA,Teddy Bridgewater,QB,MIA,11,,,281.0
lewis_TE_GB,Marcedes Lewis,TE,GB,14,,,290.0
fairbairn_K_HOU,Ka'imi Fairbairn,K,HOU,6,,,291.0
texans_DST_HOU,Texans,DST,HOU,6,,,293.0
bell_TE_KC,Blake Bell,TE,KC,8,,,295.0
taylor_RB_NE,J.J. Taylor,RB,NE,10,,,299.0
